"numOfAnimals","numOfGrasses","numOfEmptyFields","mostPopularGenes","averageAnimalEnergy","averageAnimalLifeSpan"
"20","33","367","[0, 4, 2, 7, 5]","9","0"
"21","36","364","[0, 4, 2, 7, 5]","8","0"
"21","36","364","[0, 4, 2, 7, 5]","8","0"
"22","40","360","[6, 4, 1, 5, 4]","7","0"
"23","42","358","[6, 4, 1, 5, 4]","7","0"
"23","45","355","[6, 4, 1, 5, 4]","6","0"
"23","48","352","[6, 4, 1, 5, 4]","5","0"
"23","50","350","[6, 4, 1, 5, 4]","5","0"
"23","53","347","[6, 4, 1, 5, 4]","4","0"
"12","56","344","[6, 4, 1, 5, 4]","8","9"
"11","60","340","[6, 4, 1, 5, 4]","8","9"
"9","61","339","[6, 4, 1, 5, 4]","11","9"
"10","64","336","[6, 4, 1, 5, 4]","10","9"
"10","68","332","[6, 4, 1, 5, 4]","9","9"
"9","72","328","[1, 0, 0, 0, 1]","10","9"
"9","77","323","[1, 0, 0, 0, 1]","9","9"
"7","79","321","[1, 0, 0, 0, 1]","13","9"
"7","82","318","[1, 0, 0, 0, 1]","13","9"
"7","86","314","[1, 0, 0, 0, 1]","13","9"
"7","90","310","[1, 0, 0, 0, 1]","12","9"
"7","93","307","[1, 0, 0, 0, 1]","13","10"
"6","96","304","[1, 0, 0, 0, 1]","16","10"
"6","99","301","[1, 0, 0, 0, 1]","16","10"
"6","100","300","[1, 0, 0, 0, 1]","19","10"
"6","103","297","[1, 0, 0, 0, 1]","19","10"
"7","104","296","[1, 0, 0, 0, 1]","18","10"
"6","104","296","[1, 0, 0, 0, 1]","25","11"
"6","107","293","[1, 0, 0, 0, 1]","25","11"
"6","109","291","[1, 0, 0, 0, 1]","27","11"
"6","110","290","[1, 0, 0, 0, 1]","29","11"
"6","111","289","[1, 0, 0, 0, 1]","31","11"
"6","113","287","[1, 0, 0, 0, 1]","33","11"
"6","117","283","[1, 0, 0, 0, 1]","33","11"
"5","120","280","[1, 0, 0, 0, 1]","40","11"
"5","122","278","[1, 0, 0, 0, 1]","42","11"
"5","124","276","[1, 0, 0, 0, 1]","44","11"
"5","126","274","[1, 0, 0, 0, 1]","46","11"
"5","128","272","[1, 0, 0, 0, 1]","48","11"
"5","130","270","[1, 0, 0, 0, 1]","50","11"
"5","132","268","[1, 0, 0, 0, 1]","52","11"
"5","134","266","[1, 0, 0, 0, 1]","54","11"
"5","138","262","[1, 0, 0, 0, 1]","54","11"
"5","140","260","[1, 0, 0, 0, 1]","56","11"
"5","143","257","[1, 0, 0, 0, 1]","57","11"
"6","146","254","[1, 0, 0, 0, 1]","48","11"
"6","146","254","[1, 0, 0, 0, 1]","52","11"
"7","148","252","[1, 0, 0, 0, 1]","45","11"
"7","148","252","[1, 0, 0, 0, 1]","48","11"
"8","149","251","[1, 0, 0, 0, 1]","44","11"
"9","149","251","[1, 0, 0, 0, 1]","41","11"
"10","148","252","[1, 0, 0, 0, 1]","39","11"
"12","148","252","[1, 0, 0, 0, 1]","33","11"
"14","147","253","[1, 0, 0, 0, 1]","30","11"
"16","148","252","[1, 0, 0, 0, 1]","26","10"
"17","148","252","[1, 0, 0, 0, 1]","25","10"
"18","149","251","[1, 0, 0, 0, 1]","24","10"
"18","147","253","[1, 0, 0, 0, 1]","25","9"
"18","143","257","[1, 0, 0, 0, 1]","26","9"
"18","140","260","[1, 0, 0, 0, 1]","28","9"
"19","139","261","[1, 0, 0, 0, 1]","27","9"
"20","140","260","[0, 5, 0, 7, 2]","26","9"
"21","138","262","[0, 5, 0, 7, 2]","25","8"
"20","135","265","[0, 5, 0, 7, 2]","27","10"
"18","133","267","[0, 5, 0, 7, 2]","31","10"
"18","131","269","[0, 5, 0, 7, 2]","32","10"
"18","134","266","[0, 5, 0, 7, 2]","32","10"
"19","134","266","[0, 5, 0, 7, 2]","30","10"
"20","133","267","[0, 5, 0, 7, 2]","29","10"
"20","131","269","[0, 5, 0, 7, 2]","30","10"
"20","129","271","[0, 5, 0, 7, 2]","31","10"
"20","128","272","[0, 5, 0, 7, 2]","31","10"
"20","126","274","[0, 5, 0, 7, 2]","32","10"
"19","126","274","[0, 5, 0, 7, 2]","34","10"
"20","128","272","[0, 5, 0, 7, 2]","32","10"
"20","128","272","[0, 5, 0, 7, 2]","32","10"
"18","125","275","[0, 5, 0, 7, 2]","37","10"
"18","123","277","[0, 5, 0, 7, 2]","38","10"
"20","123","277","[0, 5, 0, 7, 2]","35","10"
"21","121","279","[0, 5, 0, 7, 2]","34","10"
"22","120","280","[0, 5, 0, 7, 2]","32","10"
"23","120","280","[0, 5, 0, 7, 2]","31","10"
"25","121","279","[0, 5, 0, 7, 2]","29","10"
"25","120","280","[0, 5, 0, 7, 2]","29","9"
"27","119","281","[0, 5, 0, 7, 2]","27","9"
"27","116","284","[0, 5, 0, 7, 2]","27","10"
"28","117","283","[0, 5, 0, 7, 2]","26","10"
"31","116","284","[1, 2, 1, 1, 1]","23","10"
"30","116","284","[1, 2, 1, 1, 1]","24","9"
"28","115","285","[1, 2, 1, 1, 1]","26","9"
"26","116","284","[1, 2, 1, 1, 1]","28","9"
"26","115","285","[1, 2, 1, 1, 1]","28","9"
"26","115","285","[1, 2, 1, 1, 1]","28","9"
"27","116","284","[1, 2, 1, 1, 1]","26","9"
"28","116","284","[1, 2, 1, 1, 1]","25","9"
"26","117","283","[1, 2, 1, 1, 1]","27","9"
"24","118","282","[1, 2, 1, 1, 1]","29","9"
"23","120","280","[1, 2, 1, 1, 1]","30","9"
"22","120","280","[1, 2, 1, 1, 1]","31","9"
"22","116","284","[1, 2, 1, 1, 1]","33","9"
"22","117","283","[1, 2, 1, 1, 1]","32","9"
