"numOfAnimals","numOfGrasses","numOfEmptyFields","mostPopularGenes","averageAnimalEnergy","averageAnimalLifeSpan"
"20","34","366","[5, 1, 0, 3, 0]","9","0"
"20","38","362","[5, 1, 0, 3, 0]","8","0"
"20","43","357","[5, 1, 0, 3, 0]","7","0"
"20","46","354","[5, 1, 0, 3, 0]","7","0"
"20","50","350","[5, 1, 0, 3, 0]","6","0"
"20","54","346","[5, 1, 0, 3, 0]","5","0"
"20","57","343","[5, 1, 0, 3, 0]","5","0"
"20","60","340","[5, 1, 0, 3, 0]","4","0"
"20","64","336","[5, 1, 0, 3, 0]","3","0"
"5","67","333","[5, 1, 0, 3, 0]","13","9"
"5","72","328","[5, 1, 0, 3, 0]","12","9"
"5","77","323","[5, 1, 0, 3, 0]","11","9"
"5","80","320","[5, 1, 0, 3, 0]","12","9"
"5","84","316","[5, 1, 0, 3, 0]","12","9"
"3","88","312","[5, 1, 0, 3, 0]","20","9"
"3","92","308","[5, 1, 0, 3, 0]","20","9"
"3","95","305","[5, 1, 0, 3, 0]","23","9"
"3","99","301","[5, 1, 0, 3, 0]","23","9"
"3","103","297","[5, 1, 0, 3, 0]","24","9"
"2","107","293","[5, 1, 0, 3, 0]","37","10"
"2","111","289","[5, 1, 0, 3, 0]","39","10"
"2","114","286","[5, 1, 0, 3, 0]","43","10"
"2","117","283","[5, 1, 0, 3, 0]","47","10"
"2","120","280","[5, 1, 0, 3, 0]","51","10"
"2","123","277","[5, 1, 0, 3, 0]","55","10"
"2","126","274","[5, 1, 0, 3, 0]","59","10"
"2","129","271","[5, 1, 0, 3, 0]","63","10"
"2","133","267","[5, 1, 0, 3, 0]","64","10"
"2","136","264","[5, 1, 0, 3, 0]","68","10"
"2","139","261","[5, 1, 0, 3, 0]","72","10"
"2","142","258","[5, 1, 0, 3, 0]","76","10"
"2","145","255","[5, 1, 0, 3, 0]","80","10"
"2","148","252","[5, 1, 0, 3, 0]","84","10"
"2","151","249","[5, 1, 0, 3, 0]","88","10"
"2","154","246","[5, 1, 0, 3, 0]","92","10"
"2","157","243","[5, 1, 0, 3, 0]","96","10"
"2","161","239","[5, 1, 0, 3, 0]","98","10"
"2","165","235","[5, 1, 0, 3, 0]","99","10"
"2","168","232","[5, 1, 0, 3, 0]","103","10"
"2","172","228","[5, 1, 0, 3, 0]","105","10"
"2","176","224","[5, 1, 0, 3, 0]","106","10"
"2","179","221","[5, 1, 0, 3, 0]","110","10"
"2","183","217","[5, 1, 0, 3, 0]","112","10"
"2","187","213","[5, 1, 0, 3, 0]","113","10"
"2","191","209","[5, 1, 0, 3, 0]","115","10"
"2","194","206","[5, 1, 0, 3, 0]","119","10"
"2","197","203","[5, 1, 0, 3, 0]","123","10"
"2","200","200","[5, 1, 0, 3, 0]","127","10"
"2","203","197","[5, 1, 0, 3, 0]","131","10"
"2","206","194","[5, 1, 0, 3, 0]","135","10"
"2","209","191","[5, 1, 0, 3, 0]","139","10"
"2","212","188","[5, 1, 0, 3, 0]","143","10"
"2","215","185","[5, 1, 0, 3, 0]","147","10"
"2","218","182","[5, 1, 0, 3, 0]","151","10"
"2","221","179","[5, 1, 0, 3, 0]","155","10"
"2","224","176","[5, 1, 0, 3, 0]","159","10"
"2","227","173","[5, 1, 0, 3, 0]","163","10"
"2","230","170","[5, 1, 0, 3, 0]","167","10"
"2","233","167","[5, 1, 0, 3, 0]","171","10"
"2","236","164","[5, 1, 0, 3, 0]","175","10"
"2","239","161","[5, 1, 0, 3, 0]","179","10"
"2","242","158","[5, 1, 0, 3, 0]","183","10"
"2","245","155","[5, 1, 0, 3, 0]","187","10"
"3","249","151","[5, 1, 0, 3, 0]","125","10"
"4","252","148","[5, 1, 0, 3, 0]","96","10"
"4","254","146","[5, 1, 0, 3, 0]","98","10"
"4","255","145","[5, 1, 0, 3, 0]","102","10"
"5","257","143","[5, 1, 0, 3, 0]","84","10"
"4","258","142","[5, 1, 0, 3, 0]","109","9"
"4","259","141","[5, 1, 0, 3, 0]","113","9"
"4","260","140","[5, 1, 0, 3, 0]","117","9"
"4","261","139","[5, 1, 0, 3, 0]","121","9"
"4","262","138","[5, 1, 0, 3, 0]","125","9"
"4","263","137","[5, 1, 0, 3, 0]","129","9"
"4","264","136","[5, 1, 0, 3, 0]","133","9"
"4","265","135","[5, 1, 0, 3, 0]","137","9"
"4","266","134","[5, 1, 0, 3, 0]","141","9"
"4","267","133","[5, 1, 0, 3, 0]","145","9"
"4","268","132","[5, 1, 0, 3, 0]","149","9"
"4","269","131","[5, 1, 0, 3, 0]","153","9"
"4","270","130","[5, 1, 0, 3, 0]","157","9"
"4","272","128","[5, 1, 0, 3, 0]","160","9"
"4","273","127","[5, 1, 0, 3, 0]","164","9"
"4","274","126","[5, 1, 0, 3, 0]","168","9"
"4","275","125","[5, 1, 0, 3, 0]","172","9"
"4","277","123","[5, 1, 0, 3, 0]","174","9"
"4","278","122","[5, 1, 0, 3, 0]","178","9"
"4","279","121","[5, 1, 0, 3, 0]","182","9"
"4","281","119","[5, 1, 0, 3, 0]","185","9"
"4","282","118","[5, 1, 0, 3, 0]","189","9"
"4","283","117","[5, 1, 0, 3, 0]","193","9"
"4","285","115","[5, 1, 0, 3, 0]","196","9"
"4","287","113","[5, 1, 0, 3, 0]","199","9"
"4","289","111","[5, 1, 0, 3, 0]","201","9"
"4","291","109","[5, 1, 0, 3, 0]","204","9"
"4","293","107","[5, 1, 0, 3, 0]","207","9"
"4","295","105","[5, 1, 0, 3, 0]","210","9"
"4","298","102","[5, 1, 0, 3, 0]","211","9"
"4","300","100","[5, 1, 0, 3, 0]","214","9"
"4","301","99","[5, 1, 0, 3, 0]","218","9"
